User_id,Username,Gender,Repo_id,commit_date,Project_size,Project_Tenure
376214,VorontsovIE,male,4592,2/25/2015,Small,One Year
6836847,jeremiah-de,male,4661,1/21/2016,Small,One Year
10159279,mkacherovich,male,15333,11/11/2015,Small,One Year
7076783,ajlam,female,25521,10/14/2015,Small,One Year
8712122,openx-luis,male,29067,8/12/2015,Small,One Year
13284509,mrcarriere,male,37821,5/15/2016,Small,One Year
6571965,Terag,male,59333,1/28/2016,Small,One Year
7049192,schlan,male,124749,10/3/2016,Small,One Year
7914733,segantii-alex-falkowski,male,209083,12/1/2016,Small,One Year
7705869,anna-liao,female,209256,3/15/2016,Small,One Year
6836847,jeremiah-de,male,296678,1/21/2016,Small,One Year
6988083,dlemstra,male,326380,8/13/2016,Small,One Year
13694251,marcello-silverstripe,male,391683,6/2/2016,Small,One Year
6961824,msprotz,male,405520,5/29/2015,Small,One Year
640469,ekulos,male,475844,12/3/2016,Small,One Year
640469,ekulos,male,500216,12/3/2016,Small,One Year
640469,ekulos,male,500217,12/3/2016,Small,One Year
640469,ekulos,male,500218,12/3/2016,Small,One Year
640469,ekulos,male,593749,12/3/2016,Small,One Year
6739992,Dala0,male,656244,1/23/2015,Small,One Year
640469,ekulos,male,673410,12/3/2016,Small,One Year
640469,ekulos,male,673702,12/3/2016,Small,One Year
6651057,danieloneill,male,688916,1/15/2015,Small,One Year
6652193,EmilTemirov,male,703240,7/2/2015,Small,One Year
8939291,craig-allan,male,731944,1/18/2016,Small,One Year
30539492,bdbfox,male,762982,9/30/2016,Small,One Year
6761342,chilbert,male,805934,5/16/2016,Small,One Year
6964720,hansemannn,male,817104,2/1/2016,Small,One Year
640469,ekulos,male,821309,12/3/2016,Small,One Year
9491060,rgjel,male,849570,4/20/2016,Small,One Year
640469,ekulos,male,966338,12/3/2016,Small,One Year
11995319,l3enito,male,1024694,3/10/2016,Small,One Year
6798670,ankitcse07,male,1063328,1/26/2016,Small,One Year
9291813,henriknyman,male,1197965,9/5/2016,Small,One Year
30856757,AndreChertkov,male,1371586,9/5/2016,Small,One Year
9291813,henriknyman,male,1374705,9/2/2015,Small,One Year
7880342,kevinadi,male,1406071,8/18/2016,Small,One Year
640469,ekulos,male,1430816,12/3/2016,Small,One Year
640469,ekulos,male,1451485,12/3/2016,Small,One Year
640469,ekulos,male,1451629,12/3/2016,Small,One Year
640469,ekulos,male,1451777,12/3/2016,Small,One Year
640469,ekulos,male,1451862,12/3/2016,Small,One Year
640469,ekulos,male,1451917,12/3/2016,Small,One Year
640469,ekulos,male,1452397,12/3/2016,Small,One Year
640469,ekulos,male,1452613,12/3/2016,Small,One Year
640469,ekulos,male,1452631,12/3/2016,Small,One Year
640469,ekulos,male,1452664,12/3/2016,Small,One Year
7781901,thewassermann,male,1473822,10/1/2016,Small,One Year
19827041,ccamp83,male,1481640,6/28/2016,Small,One Year
7052491,spacecowboy88,male,1500642,2/18/2015,Small,One Year
11318183,rollefsont,male,1522493,8/22/2016,Small,One Year
9291813,henriknyman,male,1525791,9/1/2015,Small,One Year
7781901,thewassermann,male,1598367,10/1/2016,Small,One Year
8939291,craig-allan,male,1630402,10/1/2015,Small,One Year
6962320,seanhamlin,male,1630450,12/5/2015,Small,One Year
8939291,craig-allan,male,1795321,1/18/2016,Small,One Year
7454553,twhiteman,male,1845112,5/7/2016,Small,One Year
30423451,sachinpunadikar,male,1913918,8/29/2016,Small,One Year
6692490,jordanschalm,male,1916114,12/9/2016,Small,One Year
640469,ekulos,male,1920666,12/3/2016,Small,One Year
640469,ekulos,male,1936381,12/3/2016,Small,One Year
8939291,craig-allan,male,2072350,1/18/2016,Small,One Year
8939291,craig-allan,male,2081879,1/18/2016,Small,One Year
7781901,thewassermann,male,2100204,10/1/2016,Small,One Year
12074164,trevinoa,male,2148920,3/16/2016,Small,One Year
6635086,blefort-uo,male,2260657,1/12/2015,Small,One Year
8009136,boomsbloom,male,2269139,8/10/2015,Small,One Year
6635086,blefort-uo,male,2321956,1/12/2015,Small,One Year
11486422,VladislavSabila,male,2370562,5/13/2016,Small,One Year
6999530,andysterland,male,2400768,6/10/2015,Middle,One Year
7005460,jalissia,male,2400768,6/10/2015,Middle,One Year
640469,ekulos,male,2419421,12/3/2016,Small,One Year
7217045,nsprague1991,female,2428890,3/3/2015,Small,One Year
7475203,AMooreGeny,male,2449076,12/2/2015,Small,One Year
9491060,rgjel,male,2452358,4/20/2016,Small,One Year
7062930,goroda,male,2467128,3/24/2015,Small,One Year
